Id,Event0,Event1,Event2,Event3,Event4,Event5,Event6,Event7,Event8,Event9,Color0,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9
1,"Sprints","Races","Velodrome training.","Weight Training","Rest Day","Intervals.","TimeTrial (100km)","Overdistance","Hill Climbs (Seymour)","Tempo Riding","65535","255","16711808","4259584","16744448","33023","12615808","8421376","8421631","32768"
2,"Weight Lifting","Running","Choreography","Flexibility","Stretching",,,,,,"8388863","4227327","1330095","65535","8454016","-2147483643","-2147483643","-2147483643","-2147483643","-2147483643"
