Id,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Color0,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Peak10,Color10,Peak11,Color11,Peak12,Color12,Peak13,Color13,Peak14,Color14,Peak15,Color15,Peak16,Color16,Peak17,Color17,Peak18,Color18
1,"No Peak Scheduled.","Complete Rest - No activity","Activity Rest - Very easy & limited activity. 20 - 30 mins of light training.","Train Easy - High cadance group ride.","Train Moderate - 1 to 1 1/2 hours, Sprints, moderate intervals.","Regular Training - Normal training schedule.","Peak Performance -  ******** GO FOR IT *********","ddddddd",,,"8454143","16777088","4227327","65280","16744448","16744703","255","65535","16711935","16744576","Rest Day - work on bicycle...","4259584","Knight Street - ~ 3 hours.","16777088","Temp Riding - 1.5 hour warm up, 3 - 10 min intervals.","16711935","Power training - 1 hour warm up, 3 time up Spainish Banks","33023","Have fun - Cross train, go sking etc.","8454143",,"-2147483643",,"-2147483643",,"-2147483643",,"-2147483643"
2,"No peak scheduled...","Complete rest day","Active rest - Maximium 30 minutes of activity","Normal training","Peak Performance *** GO FOR IT ***",,,,,,"8454016","16711680","16776960","65535","8388863","-2147483643","-2147483643","-2147483643","-2147483643","-2147483643",,,,,,,,,,,,,,,,,,
